ticker,date,target
PLTR,2021-04-16,0
MU,2021-04-16,0
NVDA,2021-04-16,0
UNH,2021-04-16,0
BAC,2021-04-16,1
AMD,2021-04-16,0
WMT,2021-04-16,0
NET,2021-04-16,0
SHOP,2021-04-16,0
FSLR,2021-04-16,1
AVGO,2021-04-16,0
CRM,2021-04-16,0
MS,2021-04-16,1
SNOW,2021-04-16,0
TGT,2021-04-16,1
ABNB,2021-04-16,0
WFC,2021-04-16,1
DDOG,2021-04-16,0
EBAY,2021-04-16,0
NOW,2021-04-16,0
GOOGL,2021-04-16,1
INTC,2021-04-16,0
PYPL,2021-04-16,0
ENPH,2021-04-16,0
AMZN,2021-04-16,0
META,2021-04-16,0
MSFT,2021-04-16,0
GS,2021-04-16,1
GS,2021-04-19,0
TGT,2021-04-19,0
NVDA,2021-04-19,0
AVGO,2021-04-19,0
PYPL,2021-04-19,0
BAC,2021-04-19,0
UNH,2021-04-19,1
SNOW,2021-04-19,0
MSFT,2021-04-19,0
MDB,2021-04-19,0
COST,2021-04-19,1
NOW,2021-04-19,0
PLTR,2021-04-19,0
NET,2021-04-19,0
MS,2021-04-19,0
AAPL,2021-04-19,0
V,2021-04-19,0
FSLR,2021-04-19,0
TSLA,2021-04-19,1
EBAY,2021-04-19,0
INTC,2021-04-19,0
WMT,2021-04-19,1
DXCM,2021-04-19,0
CRM,2021-04-19,0
AMZN,2021-04-19,0
JPM,2021-04-19,0
META,2021-04-19,1
ABNB,2021-04-19,0
BLK,2021-04-19,0
GOOGL,2021-04-19,0
ISRG,2021-04-19,0
NFLX,2021-04-19,0
DDOG,2021-04-19,0
MU,2021-04-19,0
QCOM,2021-04-19,0
WFC,2021-04-19,0
SHOP,2021-04-19,0
MA,2021-04-19,0
ENPH,2021-04-19,1
AMD,2021-04-19,0
AMAT,2021-04-19,0
SNOW,2021-04-20,1
ISRG,2021-04-20,1
AMZN,2021-04-20,1
WMT,2021-04-20,1
INTC,2021-04-20,1
WFC,2021-04-20,1
META,2021-04-20,0
MS,2021-04-20,1
GOOGL,2021-04-20,0
TGT,2021-04-20,0
AMAT,2021-04-20,1
GS,2021-04-20,1
NVDA,2021-04-20,1
MA,2021-04-20,1
NOW,2021-04-20,1
DDOG,2021-04-20,1
EBAY,2021-04-20,0
MSFT,2021-04-20,1
AVGO,2021-04-20,1
DXCM,2021-04-20,1
SHOP,2021-04-20,1
